,title,trend_rank_score
0,! - Belgium,0.405
1,! - Canada,-0.10500000000000002
2,! - Denmark,0.405
3,! - France,0.005
4,! - Ireland,0.47
5,! - United Kingdom,0.375
6,!I'll Be Back! - France,0.31
7,"""Jag fakking hatar er"" - Sweden",1.4999999999999998
8,"""Read All About It, Pt. III"" - Belgium",1.19
9,"""Read All About It, Pt. III"" - Denmark",0.065
10,"""Read All About It, Pt. III"" - Sweden",0.05
11,#%_! Dig Selv - Denmark,0.5300000000000001
12,#213 - France,0.305
13,#7.8 - France,1.11
14,#Askip - France,0.65
15,#B3 - France,0.31
16,#DansLeTierquar (Lyon) - France,-0.3449999999999997
17,#DansLeTierquar (Marseille) - France,-4.17
18,#DansLeTierquar (Nantes) - France,0.21499999999999947
19,#Douxbail - France,0.075
20,#FOUINYFLOW - France,0.015
21,#FREETRAFFIK (feat. Traffik & Oni One) - Italy,-5.779999999999999
22,#JM - Belgium,0.49999999999999994
23,#JesuispasséchezSo EP 11 - Belgium,0.065
24,#JesuispasséchezSo EP 11 - France,-7.074999999999999
25,#JesuispasséchezSo EP 12 - France,-1.9849999999999999
26,#LDL - France,0.565
27,#PROUDCATOWNERREMIX - Canada,0.4799999999999999
28,#PTD - France,-0.9699999999999999
29,#Quote - Belgium,0.36
30,#Rohffback - France,0.56
31,#SNTL - France,0.525
32,#THOTMILANODM - Italy,-1.1400000000000006
33,#Totopirate - France,0.245
34,#cpasdmafaute - France,-1.4799999999999998
35,$$$ - with Matt Ox - Belgium,-0.9349999999999998
36,$$$ - with Matt Ox - Canada,-2.3149999999999995
37,$$$ - with Matt Ox - Denmark,0.775
38,$$$ - with Matt Ox - France,-0.30000000000000004
39,$$$ - with Matt Ox - Ireland,0.615
40,$$$ - with Matt Ox - Italy,0.525
41,$$$ - with Matt Ox - Sweden,0.075
42,$$$ - with Matt Ox - United Kingdom,0.27
43,$€ Freestyle - Italy,-13.835000000000004
44,'Flawless' Do It Well Pt. 3 (feat. Summer Walker) - Canada,0.425
45,'Till I Collapse - Belgium,1.27
46,'Till I Collapse - Canada,23.635
47,'Till I Collapse - Denmark,0.10499999999999993
48,'Till I Collapse - Ireland,6.234999999999998
49,'Till I Collapse - Italy,0.145
50,'Till I Collapse - Sweden,10.075
51,'Till I Collapse - United Kingdom,2.535000000000001
52,(Christmas Eve) After Midnight - Sweden,3.1350000000000002
53,(Don't Fear) The Reaper - Canada,3.5
54,(Don't Fear) The Reaper - Ireland,2.835
55,(Don't Fear) The Reaper - United Kingdom,3.955
56,(Everything I Do) I Do It For You - Belgium,0.51
57,(Everything I Do) I Do It For You - Canada,0.34
58,(Everything I Do) I Do It For You - Denmark,0.44
59,(Everything I Do) I Do It For You - France,0.19
60,(Everything I Do) I Do It For You - Ireland,0.9650000000000001
61,(Everything I Do) I Do It For You - Italy,0.14
62,(Everything I Do) I Do It For You - United Kingdom,1.31
63,(Fuck A) Silver Lining - United Kingdom,0.7200000000000001
64,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002 - Belgium,-0.16
65,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002 - Ireland,0.42999999999999994
66,"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack - Denmark",0.32
67,(Intro) I'm so Grateful (feat. Sizzla) - Canada,0.25
68,(Intro) I'm so Grateful (feat. Sizzla) - United Kingdom,0.11
69,(No One Knows Me) Like the Piano - France,0.06
70,(No One Knows Me) Like the Piano - Ireland,0.15
71,(No One Knows Me) Like the Piano - United Kingdom,2.23
72,(Not) The One - Canada,1.9599999999999993
73,(Not) The One - France,0.5800000000000001
74,(Not) The One - Sweden,0.705
75,(Sittin' On) the Dock of the Bay - Ireland,1.185
76,(Sittin' On) the Dock of the Bay - United Kingdom,3.665
77,(Tak For I Dag) - Denmark,0.12
78,(What A) Wonderful World - Remastered - Belgium,0.30000000000000004
79,(What A) Wonderful World - Remastered - Canada,0.21
80,(You Make Me Feel Like) A Natural Woman - Belgium,0.9500000000000001
81,(You Make Me Feel Like) A Natural Woman - Canada,0.15999999999999998
82,(You Make Me Feel Like) A Natural Woman - Denmark,0.44
83,(You Make Me Feel Like) A Natural Woman - France,0.6
84,(You Make Me Feel Like) A Natural Woman - Ireland,-0.17000000000000004
85,(You Make Me Feel Like) A Natural Woman - Sweden,0.8799999999999999
86,(You Make Me Feel Like) A Natural Woman - United Kingdom,-0.36499999999999994
87,(Your Love Keeps Lifting Me) Higher & Higher - Ireland,0.11
88,(Your Love Keeps Lifting Me) Higher & Higher - United Kingdom,0.615
89,(arrivo?) - Italy,0.415
90,(partenza) - Italy,0.465
91,+ 33 - Belgium,0.34
92,+ 33 - France,-1.905
93,+ De Pluie... - Belgium,0.525
