,id,album,artist,explicit,popularity
0,1gb6riq7CCP5clGpSD0XPH,HNDRXX,Future,True,16
1,7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),Ed Sheeran,False,87
2,3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",False,77
3,6RUKPb4LETWmmr3iAEQktW,Memories...Do Not Open,"The Chainsmokers, Coldplay",False,84
4,72jbDTw1piOOj770jWNeaG,Memories...Do Not Open,The Chainsmokers,False,72
5,3NdDpSvN911VPGivFlV5d0,I Don’t Wanna Live Forever (Fifty Shades Darker),"ZAYN, Taylor Swift",False,1
6,3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,"Martin Garrix, Dua Lipa",False,79
7,78rIJddV4X0HkNAInEcYde,Call On Me (Remixes),"Starley, Ryan Riback",False,47
8,1sXUWdKx03aP9Gmzft58rt,Issues,Julia Michaels,False,1
9,6PCUP3dWmTjcTtXY02oFdT,÷ (Deluxe),Ed Sheeran,False,79
10,00lNx0OcTJrS3MKHcB80HY,You Don't Know Me,"Jax Jones, RAYE",True,0
11,6520aj0B4FSKGVuKNsOCOi,Witness,"Katy Perry, Skip Marley",False,0
12,5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),"Clean Bandit, Sean Paul, Anne-Marie",False,77
13,6WBPdOrzwCo3AXg2kGGD7x,Ziet Em Duun,Van Echelpoel,False,30
14,5GXAXm5YOmYT0kL5jHvYBt,Starboy,"The Weeknd, Daft Punk",False,73
15,0fg8CqpjdojMyXLNzM2PaJ,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),"Major Lazer, PARTYNEXTDOOR, Nicki Minaj",True,0
16,11pNf8SA2U3PXzLca8BFt6,Less Is More,"Lost Frequencies, Axel Ehnström",False,38
17,5uCax9HTNlzGybIStD3vDh,Back from the Edge,James Arthur,False,86
18,5hYTyyh2odQKphUbMqc5gN,"How Far I'll Go (From ""Moana"")",Alessia Cara,False,0
19,3E2Zh20GDCR9B1EYjfXWyv,The Click,AJR,False,0
20,5NNlUMcOEOdoOIwwaWXv0k,Cold,"Maroon 5, Future",True,0
21,6HUnnBwYZqcED1eQztxMBN,Solo Dance,Martin Jensen,False,1
22,0KKkJNfGyhkQ5aFogxQAPU,24K Magic,Bruno Mars,False,83
23,0dA2Mk56wEzDgegdC6R17g,Stay,"Zedd, Alessia Cara",False,1
24,0CcQNd8CINkwQfe1RDtGV6,Evolve,Imagine Dragons,False,0
25,4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),"Luis Fonsi, Daddy Yankee",False,3
26,7BKLCZ1jbUBVqRi2FVlTVw,Closer,"The Chainsmokers, Halsey",False,85
27,5aAx2yezTd8zXrkmtKl66Z,Starboy,"The Weeknd, Daft Punk",True,4
